bank_txn_id,value_date,amount,type,narration
BTX-5001,2026-08-04,9471.02,credit,UPI-UTR320281RZP-RAZORPAYX
BTX-5002,2026-08-04,47033.06,credit,RAZORPAY SETTL UTR361650RZP
BTX-5003,2026-08-05,39776.13,credit,RAZORPAY SETTL UTR207786RZP
BTX-5004,2026-08-10,12843.7,credit,IMPS/UTR526117RZP/RZRPY
BTX-5005,2026-08-10,30708.15,credit,UPI-UTR885884RZP-RAZORPAYX
BTX-5006,2026-08-10,1566.17,credit,NEFT-RAZORP-UTR348237RZP
BTX-5007,2026-08-12,23088.5,credit,IMPS/UTR270395RZP/RZRPY
BTX-5008,2026-08-12,23088.5,credit,IMPS/UTR270395RZP/RZRPY
BTX-5009,2026-08-17,42253.85,credit,IMPS/UTR950155RZP/RZRPY
BTX-5010,2026-08-18,17109.12,credit,UPI-UTR532322RZP-RAZORPAYX
BTX-5011,2026-08-19,4865.31,credit,UPI-UTR288073RZP-RAZORPAYX
BTX-5012,2026-08-19,4865.31,credit,UPI-UTR288073RZP-RAZORPAYX
BTX-5013,2026-08-20,19277.56,credit,IMPS/UTR448321RZP/RZRPY
BTX-5014,2026-08-23,30314.87,credit,IMPS/UTR802448RZP/RZRPY
BTX-5015,2026-08-23,12706.69,credit,UPI-UTR870763RZP-RAZORPAYX
BTX-5016,2026-09-03,4873.68,debit,REFUND-ORD-1013-PARTIAL
BTX-5017,2026-08-22,985.35,debit,REFUND-ORD-1052-PARTIAL
BTX-5018,2026-08-15,3082.9,debit,REFUND-ORD-1040-PARTIAL
BTX-5019,2026-08-11,212.5,credit,SAVINGS INT CREDIT Q2
BTX-5020,2026-08-16,118.0,debit,AMB CHARGES-AUG
