settlement_id,utr,settlement_date,order_ids,gross_amount,razorpay_fee,gst_on_fee,tds,net_amount
SETL-2001,UTR320281RZP,2026-08-04,ORD-1054;ORD-1003,9709.89,194.2,34.96,9.71,9471.02
SETL-2002,UTR361650RZP,2026-08-04,ORD-1008;ORD-1015;ORD-1043;ORD-1049,48219.26,964.39,173.59,48.22,47033.06
SETL-2003,UTR207786RZP,2026-08-05,ORD-1007;ORD-1010;ORD-1020;ORD-1029,40779.31,815.59,146.81,40.78,39776.13
SETL-2004,UTR918011RZP,2026-08-07,ORD-1002;ORD-1053,25238.44,504.77,90.86,25.24,24617.57
SETL-2005,UTR526117RZP,2026-08-09,ORD-1012;ORD-1038;ORD-1041,13167.62,263.35,47.4,13.17,12843.7
SETL-2006,UTR885884RZP,2026-08-10,ORD-1011;ORD-1018;ORD-1028,31482.63,629.65,113.34,31.48,30708.16
SETL-2007,UTR348237RZP,2026-08-10,ORD-1033,1605.67,32.11,5.78,1.61,1566.17
SETL-2008,UTR270395RZP,2026-08-12,ORD-1035;ORD-1044;ORD-1035-DUP;ORD-1042;ORD-1046,23670.81,473.42,85.22,23.67,23088.5
SETL-2009,UTR950155RZP,2026-08-17,ORD-1056;ORD-1006;ORD-1021;ORD-1014;ORD-1039,43319.51,866.39,155.95,43.32,42253.85
SETL-2010,UTR532322RZP,2026-08-18,ORD-1030,17540.62,350.81,63.15,17.54,17109.12
SETL-2011,UTR288073RZP,2026-08-19,ORD-1022,4988.02,99.76,17.96,4.99,4865.31
SETL-2012,UTR448321RZP,2026-08-20,ORD-1036;ORD-1055;ORD-1004;ORD-1009,19763.74,395.27,71.15,19.76,19277.56
SETL-2013,UTR531712RZP,2026-08-21,ORD-1023;ORD-1005;ORD-1019;ORD-1034;ORD-1037,42409.4,848.19,152.67,42.41,41366.13
SETL-2014,UTR802448RZP,2026-08-23,ORD-1051;ORD-1027;ORD-1050;ORD-1001;ORD-1017,31079.43,621.59,111.89,31.08,30314.87
SETL-2015,UTR870763RZP,2026-08-23,ORD-1025;ORD-1032,13027.17,260.54,46.9,13.03,12706.7
